episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,30.172115389535428,1.0,1.0,0.0,1.0,57,goal
1,99.70782826155764,1.0,1.0,0.0,1.0,72,goal
2,19.717372458125794,1.0,1.0,0.0,1.0,50,goal
3,20.528748915560577,1.0,1.0,0.0,1.0,53,goal
4,1.016640707012323,1.0,1.0,0.0,1.0,21,goal
5,10.738100602862135,1.0,1.0,0.0,1.0,29,goal
6,12.103737558605312,1.0,1.0,0.0,1.0,37,goal
7,6.606268203376827,1.0,1.0,0.0,1.0,30,goal
8,9.242336540461396,1.0,1.0,0.0,1.0,29,goal
9,33.49388374631931,1.0,1.0,0.0,1.0,56,goal
10,113.78233645353681,1.0,1.0,0.0,1.0,70,goal
11,129.6868524389951,1.0,1.0,0.0,1.0,79,goal
12,38.47603087518839,1.0,1.0,0.0,1.0,61,goal
13,74.68706077503852,1.0,1.0,0.0,1.0,66,goal
14,3.2656819839321543,1.0,1.0,0.0,1.0,25,goal
15,73.13503960175449,1.0,1.0,0.0,1.0,66,goal
16,100.84800743703576,1.0,1.0,0.0,1.0,69,goal
17,0.03032980549115607,1.0,1.0,0.0,1.0,4,goal
18,10.105961739227618,1.0,1.0,0.0,1.0,30,goal
19,146.89792960725987,1.0,1.0,0.0,1.0,79,goal
