episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,0.7881803254987643,1.0,1.0,0.0,1.0,1,stopped
1,3.1996078900580462,1.0,1.0,0.0,1.0,2,stopped
2,7.567041373515798,1.0,1.0,0.0,1.0,1,stopped
3,5.304119962561265,1.0,1.0,0.0,1.0,1,stopped
4,5.770722495030336,1.0,1.0,0.0,1.0,1,stopped
5,8.817212236848036,1.0,1.0,0.0,1.0,1,stopped
6,9.895222314032301,1.0,1.0,0.0,1.0,1,stopped
7,7.009194342364642,1.0,1.0,0.0,1.0,1,stopped
8,0.6678277016418166,1.0,1.0,0.0,1.0,1,stopped
9,5.1578787963895065,1.0,1.0,0.0,1.0,1,stopped
10,8.344771718302397,1.0,1.0,0.0,1.0,1,stopped
11,0.5674379638292166,1.0,1.0,0.0,1.0,2,stopped
12,2.317266152170924,1.0,1.0,0.0,1.0,1,stopped
13,8.377930640070794,1.0,1.0,0.0,1.0,1,stopped
14,7.165915841399837,1.0,1.0,0.0,1.0,1,stopped
15,7.799608992323175,1.0,1.0,0.0,1.0,1,stopped
16,9.963501995204151,1.0,1.0,0.0,1.0,1,stopped
17,9.17089852772763,1.0,1.0,0.0,1.0,1,stopped
18,100.0,0.0,0.0,1.0,0.0,1,collision
19,8.902327423247737,1.0,1.0,0.0,1.0,1,stopped
