episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,134.57183840905117,1.0,1.0,0.0,1.0,75,goal
1,1.7834955065236942,1.0,1.0,0.0,1.0,18,goal
2,1.6884030734826723,1.0,1.0,0.0,1.0,22,goal
3,20.923261873805906,1.0,1.0,0.0,1.0,51,goal
4,4.414526513467115,1.0,1.0,0.0,1.0,27,goal
5,4.001902678372635,1.0,1.0,0.0,1.0,32,goal
6,127.21069579009426,1.0,1.0,0.0,1.0,71,goal
7,14.0150458615858,1.0,1.0,0.0,1.0,49,goal
8,144.84206530037955,1.0,1.0,0.0,1.0,72,goal
9,11.94051157649623,1.0,1.0,0.0,1.0,42,goal
10,2.6968752057956706,1.0,1.0,0.0,1.0,28,goal
11,140.19754492244522,1.0,1.0,0.0,1.0,73,goal
12,10.080005005281341,1.0,1.0,0.0,1.0,32,goal
13,105.04869650400896,1.0,1.0,0.0,1.0,69,goal
14,5.45584788716009,1.0,1.0,0.0,1.0,25,goal
15,18.563593265151265,1.0,1.0,0.0,1.0,49,goal
16,65.34895537707654,1.0,1.0,0.0,1.0,63,goal
17,52.53893880612113,1.0,1.0,0.0,1.0,61,goal
18,41.522950968087216,1.0,1.0,0.0,1.0,56,goal
19,64.84893708944008,1.0,1.0,0.0,1.0,62,goal
