episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,59.579346635257856,1.0,1.0,0.0,1.0,63,goal
1,28.74465381942201,1.0,1.0,0.0,1.0,57,goal
2,5.552561074907496,1.0,1.0,0.0,1.0,29,goal
3,109.16849264413793,1.0,1.0,0.0,1.0,71,goal
4,7.849216930024768,1.0,1.0,0.0,1.0,29,goal
5,254.73905628785485,1.0,1.0,0.0,1.0,87,goal
6,61.3276640819739,1.0,1.0,0.0,1.0,63,goal
7,10.243097209220243,1.0,1.0,0.0,1.0,37,goal
8,0.8295554903336744,1.0,1.0,0.0,1.0,20,goal
9,115.38476926536919,1.0,1.0,0.0,1.0,73,goal
10,70.25145345407506,1.0,1.0,0.0,1.0,66,goal
11,65.52663152964992,1.0,1.0,0.0,1.0,64,goal
12,14.800147857614007,1.0,1.0,0.0,1.0,44,goal
13,2.488302441262282,1.0,1.0,0.0,1.0,27,goal
14,10.056085293562656,1.0,1.0,0.0,1.0,28,goal
15,62.45107055092657,1.0,1.0,0.0,1.0,65,goal
16,0.6796391687777813,1.0,1.0,0.0,1.0,17,goal
17,10.93342277962517,1.0,1.0,0.0,1.0,29,goal
18,0.0023731612453540686,1.0,1.0,0.0,1.0,1,goal
19,138.30078464083118,1.0,1.0,0.0,1.0,75,goal
