episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,9.867834084477366,1.0,1.0,0.0,1.0,17,goal
1,9.365582988164078,1.0,1.0,0.0,1.0,17,goal
2,9.521414791112786,1.0,1.0,0.0,1.0,17,goal
3,9.507596918959885,1.0,1.0,0.0,1.0,17,goal
4,8.79565009825214,1.0,1.0,0.0,1.0,16,goal
5,24.303778365845925,0.0,0.0,0.0,0.0,120,horizon
6,10.017571725174621,1.0,1.0,0.0,1.0,18,goal
7,10.39378324106126,1.0,1.0,0.0,1.0,17,goal
8,8.88829162689363,1.0,1.0,0.0,1.0,16,goal
9,8.119902092680215,1.0,1.0,0.0,1.0,16,goal
10,9.261723521731152,1.0,1.0,0.0,1.0,16,goal
11,11.59262367146615,1.0,1.0,0.0,1.0,19,goal
12,10.404637982745207,1.0,1.0,0.0,1.0,18,goal
13,8.846041028487084,1.0,1.0,0.0,1.0,16,goal
14,9.087043022517172,1.0,1.0,0.0,1.0,16,goal
15,9.290374551049773,1.0,1.0,0.0,1.0,16,goal
16,9.082674909635923,1.0,1.0,0.0,1.0,16,goal
17,9.314814746497083,1.0,1.0,0.0,1.0,16,goal
18,9.703293287966739,1.0,1.0,0.0,1.0,17,goal
19,12.25353792947478,1.0,1.0,0.0,1.0,20,goal
