episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,7.122488740906699,1.0,1.0,0.0,1.0,1,stopped
1,10.0,1.0,1.0,0.0,1.0,1,stopped
2,100.0,0.0,0.0,1.0,0.0,1,collision
3,0.6897878830512817,1.0,1.0,0.0,1.0,1,stopped
4,3.2527172855035094,1.0,1.0,0.0,1.0,2,stopped
5,100.0,0.0,0.0,1.0,0.0,1,collision
6,7.304530216230168,1.0,1.0,0.0,1.0,1,stopped
7,6.218162734642179,1.0,1.0,0.0,1.0,1,stopped
8,3.1651716653226787,1.0,1.0,0.0,1.0,1,stopped
9,100.0,0.0,0.0,1.0,0.0,1,collision
10,100.0,0.0,0.0,1.0,0.0,1,collision
11,7.270587527864536,1.0,1.0,0.0,1.0,1,stopped
12,6.872969316296196,1.0,1.0,0.0,1.0,1,stopped
13,6.162896515603246,1.0,1.0,0.0,1.0,1,stopped
14,0.848618013286685,1.0,1.0,0.0,1.0,2,stopped
15,1.665440311448949,1.0,1.0,0.0,1.0,3,stopped
16,6.416773760442197,1.0,1.0,0.0,1.0,1,stopped
17,1.7129928653802302,1.0,1.0,0.0,1.0,1,stopped
18,7.034108783268724,1.0,1.0,0.0,1.0,1,stopped
19,8.408261841346267,1.0,1.0,0.0,1.0,1,stopped
