episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,4.236460016881762,1.0,1.0,0.0,1.0,1,stopped
1,0.6287918394032957,1.0,1.0,0.0,1.0,1,stopped
2,9.401596152583908,1.0,1.0,0.0,1.0,1,stopped
3,9.759935074842067,1.0,1.0,0.0,1.0,1,stopped
4,4.741288738309309,1.0,1.0,0.0,1.0,1,stopped
5,0.9311453720857028,1.0,1.0,0.0,1.0,3,stopped
6,2.661927375650222,1.0,1.0,0.0,1.0,1,stopped
7,2.6110348778067114,1.0,1.0,0.0,1.0,1,stopped
8,0.7751960789348447,1.0,1.0,0.0,1.0,2,stopped
9,7.552063431257072,1.0,1.0,0.0,1.0,1,stopped
10,8.13566375363693,1.0,1.0,0.0,1.0,1,stopped
11,7.028166991003577,1.0,1.0,0.0,1.0,1,stopped
12,5.383437182682904,1.0,1.0,0.0,1.0,1,stopped
13,6.580856486755263,1.0,1.0,0.0,1.0,1,stopped
14,3.7153751472642185,1.0,1.0,0.0,1.0,1,stopped
15,7.667073743537644,1.0,1.0,0.0,1.0,1,stopped
16,3.435013238384041,1.0,1.0,0.0,1.0,1,stopped
17,2.7795600010176247,1.0,1.0,0.0,1.0,1,stopped
18,6.9154186102292465,1.0,1.0,0.0,1.0,1,stopped
19,0.8909064233661276,1.0,1.0,0.0,1.0,1,stopped
