episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,9.005644746586459,1.0,1.0,0.0,1.0,1,stopped
1,1.4422750120350853,1.0,1.0,0.0,1.0,2,stopped
2,6.2699495321784715,1.0,1.0,0.0,1.0,1,stopped
3,9.532102478225644,1.0,1.0,0.0,1.0,1,stopped
4,9.356398042391941,1.0,1.0,0.0,1.0,1,stopped
5,100.0,0.0,0.0,1.0,0.0,1,collision
6,6.928015986392379,1.0,1.0,0.0,1.0,1,stopped
7,2.1450583170257134,1.0,1.0,0.0,1.0,1,stopped
8,100.0,0.0,0.0,1.0,0.0,1,collision
9,1.8410384532668713,1.0,1.0,0.0,1.0,1,stopped
10,7.9886983845056365,1.0,1.0,0.0,1.0,1,stopped
11,2.473939531843825,1.0,1.0,0.0,1.0,1,stopped
12,9.307073818777411,1.0,1.0,0.0,1.0,1,stopped
13,6.818747013591658,1.0,1.0,0.0,1.0,1,stopped
14,100.0,0.0,0.0,1.0,0.0,1,collision
15,5.056429073657879,1.0,1.0,0.0,1.0,1,stopped
16,10.0,1.0,1.0,0.0,1.0,1,stopped
17,4.640924588879359,1.0,1.0,0.0,1.0,1,stopped
18,1.2938137882686787,1.0,1.0,0.0,1.0,1,stopped
19,8.365692187663575,1.0,1.0,0.0,1.0,1,stopped
