episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,46.93869473078845,0.0,0.0,0.0,0.0,120,horizon
1,49.218136674530825,0.0,0.0,0.0,0.0,120,horizon
2,46.959144406120195,0.0,0.0,0.0,0.0,120,horizon
3,48.69021802536078,0.0,0.0,0.0,0.0,120,horizon
4,47.87158392698564,0.0,0.0,0.0,0.0,120,horizon
5,47.05017742876458,0.0,0.0,0.0,0.0,120,horizon
6,47.754127956062185,0.0,0.0,0.0,0.0,120,horizon
7,48.43221742720209,0.0,0.0,0.0,0.0,120,horizon
8,48.891877102603004,0.0,0.0,0.0,0.0,120,horizon
9,48.58586545588171,0.0,0.0,0.0,0.0,120,horizon
10,47.87168529500656,0.0,0.0,0.0,0.0,120,horizon
11,47.91926730391485,0.0,0.0,0.0,0.0,120,horizon
12,48.55575955379092,0.0,0.0,0.0,0.0,120,horizon
13,47.939299765977815,0.0,0.0,0.0,0.0,120,horizon
14,48.59596617603522,0.0,0.0,0.0,0.0,120,horizon
15,48.07035499389777,0.0,0.0,0.0,0.0,120,horizon
16,47.42313966216668,0.0,0.0,0.0,0.0,120,horizon
17,47.322896814424816,0.0,0.0,0.0,0.0,120,horizon
18,48.41425253540386,0.0,0.0,0.0,0.0,120,horizon
19,48.61852999190286,0.0,0.0,0.0,0.0,120,horizon
