episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,3.052533164644384,1.0,1.0,0.0,1.0,13,parked
1,6.214670464922411,1.0,1.0,0.0,1.0,13,parked
2,1.2468378608196227,1.0,1.0,0.0,1.0,9,parked
3,1.4485728984005553,1.0,1.0,0.0,1.0,9,parked
4,0.0971124841194223,1.0,1.0,0.0,1.0,4,parked
5,0.8572915455228008,1.0,1.0,0.0,1.0,9,parked
6,2.2275137014629225,1.0,1.0,0.0,1.0,12,parked
7,1.0097728019565877,1.0,1.0,0.0,1.0,11,parked
8,0.7805276050461196,1.0,1.0,0.0,1.0,8,parked
9,2.2133037966508393,1.0,1.0,0.0,1.0,10,parked
10,7.40082865351958,1.0,1.0,0.0,1.0,13,parked
11,12.099448589189697,1.0,1.0,0.0,1.0,16,parked
12,2.1952160781631536,1.0,1.0,0.0,1.0,10,parked
13,6.250060636898537,1.0,1.0,0.0,1.0,13,parked
14,0.28121798191205727,1.0,1.0,0.0,1.0,7,parked
15,4.915616010562005,1.0,1.0,0.0,1.0,12,parked
16,7.791491497304137,1.0,1.0,0.0,1.0,14,parked
17,0.04048519452548725,1.0,1.0,0.0,1.0,2,parked
18,0.857664090093232,1.0,1.0,0.0,1.0,9,parked
19,14.666465805070294,1.0,1.0,0.0,1.0,17,parked
