episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,6.4579808750009375,1.0,1.0,0.0,1.0,1,stopped
1,10.0,1.0,1.0,0.0,1.0,1,stopped
2,100.0,0.0,0.0,1.0,0.0,1,collision
3,0.9628064128989832,1.0,1.0,0.0,1.0,2,stopped
4,3.1581209844925273,1.0,1.0,0.0,1.0,1,stopped
5,100.0,0.0,0.0,1.0,0.0,1,collision
6,6.019992900861515,1.0,1.0,0.0,1.0,1,stopped
7,3.149503429069669,1.0,1.0,0.0,1.0,1,stopped
8,2.687001985680955,1.0,1.0,0.0,1.0,1,stopped
9,100.0,0.0,0.0,1.0,0.0,1,collision
10,100.0,0.0,0.0,1.0,0.0,1,collision
11,6.646102511995395,1.0,1.0,0.0,1.0,1,stopped
12,3.721719430737114,1.0,1.0,0.0,1.0,1,stopped
13,5.9541920440151115,1.0,1.0,0.0,1.0,1,stopped
14,0.7688221209362844,1.0,1.0,0.0,1.0,5,stopped
15,1.674970490251016,1.0,1.0,0.0,1.0,3,stopped
16,3.0443145872396826,1.0,1.0,0.0,1.0,1,stopped
17,1.9582233017053035,1.0,1.0,0.0,1.0,1,stopped
18,5.626216079258715,1.0,1.0,0.0,1.0,1,stopped
19,5.35862643103743,1.0,1.0,0.0,1.0,1,stopped
