episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,6.036351026555898,1.0,1.0,0.0,1.0,26,goal
1,140.98532226629266,1.0,1.0,0.0,1.0,73,goal
2,116.44407206953508,1.0,1.0,0.0,1.0,69,goal
3,2.184372113814461,1.0,1.0,0.0,1.0,26,goal
4,43.48388801335514,1.0,1.0,0.0,1.0,57,goal
5,132.13882562321288,1.0,1.0,0.0,1.0,72,goal
6,46.97464480564219,1.0,1.0,0.0,1.0,57,goal
7,18.283461093215966,1.0,1.0,0.0,1.0,42,goal
8,259.1200022667108,1.0,1.0,0.0,1.0,85,goal
9,9.181188930038292,1.0,1.0,0.0,1.0,30,goal
10,3.751263177435567,1.0,1.0,0.0,1.0,21,goal
11,15.951825002170866,1.0,1.0,0.0,1.0,39,goal
12,13.45302972456758,1.0,1.0,0.0,1.0,40,goal
13,21.697216289102826,1.0,1.0,0.0,1.0,56,goal
14,15.65118594732266,1.0,1.0,0.0,1.0,39,goal
15,113.08529587016372,1.0,1.0,0.0,1.0,68,goal
16,1.4407697987918926,1.0,1.0,0.0,1.0,21,goal
17,11.780434837939108,1.0,1.0,0.0,1.0,30,goal
18,78.86552028828653,1.0,1.0,0.0,1.0,63,goal
19,90.60031932020298,1.0,1.0,0.0,1.0,66,goal
