episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,8.599632636310114,1.0,1.0,0.0,1.0,16,goal
1,8.183410446474229,1.0,1.0,0.0,1.0,15,goal
2,8.085112697741383,1.0,1.0,0.0,1.0,15,goal
3,9.259091210317068,1.0,1.0,0.0,1.0,17,goal
4,7.574024482848658,1.0,1.0,0.0,1.0,14,goal
5,7.824992305685953,1.0,1.0,0.0,1.0,15,goal
6,9.01131036232095,1.0,1.0,0.0,1.0,16,goal
7,8.768652619863934,1.0,1.0,0.0,1.0,15,goal
8,7.8730216165516165,1.0,1.0,0.0,1.0,14,goal
9,7.415105173293511,1.0,1.0,0.0,1.0,15,goal
10,8.172085033578963,1.0,1.0,0.0,1.0,15,goal
11,8.569737263430824,1.0,1.0,0.0,1.0,16,goal
12,8.870868084517882,1.0,1.0,0.0,1.0,16,goal
13,7.816134043411633,1.0,1.0,0.0,1.0,15,goal
14,8.328107042239123,1.0,1.0,0.0,1.0,15,goal
15,8.794420366854768,1.0,1.0,0.0,1.0,15,goal
16,7.91937978931725,1.0,1.0,0.0,1.0,15,goal
17,8.033579596499772,1.0,1.0,0.0,1.0,16,goal
18,8.383015342359304,1.0,1.0,0.0,1.0,15,goal
19,8.733611843575558,1.0,1.0,0.0,1.0,16,goal
