episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,8.419798641724933,1.0,1.0,0.0,1.0,16,goal
1,7.570798958347294,1.0,1.0,0.0,1.0,15,goal
2,6.84449356261284,1.0,1.0,0.0,1.0,13,goal
3,8.847376218630973,1.0,1.0,0.0,1.0,15,goal
4,9.039806858694016,1.0,1.0,0.0,1.0,16,goal
5,7.3855639516979235,1.0,1.0,0.0,1.0,14,goal
6,7.611229680229357,1.0,1.0,0.0,1.0,14,goal
7,8.205710213303986,1.0,1.0,0.0,1.0,15,goal
8,8.514325449615537,1.0,1.0,0.0,1.0,16,goal
9,7.106937674144725,1.0,1.0,0.0,1.0,14,goal
10,7.866742668546176,1.0,1.0,0.0,1.0,15,goal
11,7.7418446489398,1.0,1.0,0.0,1.0,14,goal
12,8.795707456827872,1.0,1.0,0.0,1.0,16,goal
13,8.455900051409946,1.0,1.0,0.0,1.0,15,goal
14,9.135744595708765,1.0,1.0,0.0,1.0,16,goal
15,9.059847539264254,1.0,1.0,0.0,1.0,16,goal
16,8.30266697135515,1.0,1.0,0.0,1.0,15,goal
17,8.393721797229205,1.0,1.0,0.0,1.0,15,goal
18,8.578556004303925,1.0,1.0,0.0,1.0,15,goal
19,8.050149749843742,1.0,1.0,0.0,1.0,15,goal
