episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,6.848896311437426,1.0,1.0,0.0,1.0,1,stopped
1,0.8969326322499754,1.0,1.0,0.0,1.0,1,stopped
2,9.263317191402267,1.0,1.0,0.0,1.0,1,stopped
3,9.582498246228786,1.0,1.0,0.0,1.0,1,stopped
4,4.6559773254980295,1.0,1.0,0.0,1.0,1,stopped
5,0.4514336196121858,1.0,1.0,0.0,1.0,1,stopped
6,2.8891934488771507,1.0,1.0,0.0,1.0,1,stopped
7,6.135634191542674,1.0,1.0,0.0,1.0,1,stopped
8,1.2144623699520525,1.0,1.0,0.0,1.0,1,stopped
9,10.0,1.0,1.0,0.0,1.0,1,stopped
10,9.271424060948942,1.0,1.0,0.0,1.0,1,stopped
11,9.440167170294348,1.0,1.0,0.0,1.0,1,stopped
12,8.515095736760053,1.0,1.0,0.0,1.0,1,stopped
13,9.278213664489638,1.0,1.0,0.0,1.0,1,stopped
14,7.9245097259690525,1.0,1.0,0.0,1.0,1,stopped
15,8.986838834480027,1.0,1.0,0.0,1.0,1,stopped
16,6.517791453792366,1.0,1.0,0.0,1.0,1,stopped
17,6.0582639290113995,1.0,1.0,0.0,1.0,1,stopped
18,8.65346811737036,1.0,1.0,0.0,1.0,1,stopped
19,0.964274019038735,1.0,1.0,0.0,1.0,1,stopped
