episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,134.62465039085873,1.0,1.0,0.0,1.0,68,goal
1,104.11186249470904,1.0,1.0,0.0,1.0,70,goal
2,4.463180769008729,1.0,1.0,0.0,1.0,21,goal
3,82.61490669948982,1.0,1.0,0.0,1.0,62,goal
4,98.24779421957226,1.0,1.0,0.0,1.0,64,goal
5,61.24252285921829,1.0,1.0,0.0,1.0,63,goal
6,4.776522999605569,1.0,1.0,0.0,1.0,21,goal
7,52.517710181666935,1.0,1.0,0.0,1.0,63,goal
8,26.7799176570819,1.0,1.0,0.0,1.0,47,goal
9,78.17088296833248,1.0,1.0,0.0,1.0,67,goal
10,0.002538942814951646,1.0,1.0,0.0,1.0,1,goal
11,11.351825938605899,1.0,1.0,0.0,1.0,29,goal
12,0.21951580896808032,1.0,1.0,0.0,1.0,12,goal
13,2.021026946165505,1.0,1.0,0.0,1.0,23,goal
14,122.52106302287297,1.0,1.0,0.0,1.0,68,goal
15,0.5591244822952733,1.0,1.0,0.0,1.0,16,goal
16,19.41649404757432,1.0,1.0,0.0,1.0,44,goal
17,0.7486667756736687,1.0,1.0,0.0,1.0,19,goal
18,70.4271799137759,1.0,1.0,0.0,1.0,68,goal
19,82.46727244055144,1.0,1.0,0.0,1.0,63,goal
