episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,3.1219703745472467,1.0,1.0,0.0,1.0,1,stopped
1,6.5798854627989725,1.0,1.0,0.0,1.0,1,stopped
2,6.2318975064614,1.0,1.0,0.0,1.0,1,stopped
3,4.039722055731518,1.0,1.0,0.0,1.0,1,stopped
4,0.9657543623612357,1.0,1.0,0.0,1.0,1,stopped
5,100.0,0.0,0.0,1.0,0.0,1,collision
6,4.80809421845169,1.0,1.0,0.0,1.0,1,stopped
7,7.877125995648183,1.0,1.0,0.0,1.0,1,stopped
8,3.718566395752346,1.0,1.0,0.0,1.0,1,stopped
9,6.063344962243631,1.0,1.0,0.0,1.0,1,stopped
10,3.833155219688199,1.0,1.0,0.0,1.0,1,stopped
11,1.8015171532190757,1.0,1.0,0.0,1.0,2,stopped
12,4.09544513412656,1.0,1.0,0.0,1.0,1,stopped
13,8.10051207129432,1.0,1.0,0.0,1.0,1,stopped
14,9.972347983154084,1.0,1.0,0.0,1.0,1,stopped
15,8.328195238993088,1.0,1.0,0.0,1.0,1,stopped
16,4.209865758678983,1.0,1.0,0.0,1.0,1,stopped
17,100.0,0.0,0.0,1.0,0.0,1,collision
18,5.2412644126870465,1.0,1.0,0.0,1.0,1,stopped
19,6.696596689902888,1.0,1.0,0.0,1.0,1,stopped
