episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,71.19800270923479,1.0,1.0,0.0,1.0,66,goal
1,43.68729975825116,1.0,1.0,0.0,1.0,62,goal
2,148.05950370958413,1.0,1.0,0.0,1.0,77,goal
3,173.97763658788122,1.0,1.0,0.0,1.0,74,goal
4,1.048573138887797,1.0,1.0,0.0,1.0,26,goal
5,85.03464579943449,1.0,1.0,0.0,1.0,69,goal
6,36.68998498079631,1.0,1.0,0.0,1.0,60,goal
7,14.69745986236769,1.0,1.0,0.0,1.0,44,goal
8,17.99114990114976,1.0,1.0,0.0,1.0,45,goal
9,207.88824726114817,1.0,1.0,0.0,1.0,81,goal
10,124.88263522625597,1.0,1.0,0.0,1.0,73,goal
11,93.60676246748403,1.0,1.0,0.0,1.0,68,goal
12,5.785938067918603,1.0,1.0,0.0,1.0,34,goal
13,37.47846239765311,1.0,1.0,0.0,1.0,59,goal
14,179.1359197022257,1.0,1.0,0.0,1.0,77,goal
15,94.02343146324567,1.0,1.0,0.0,1.0,66,goal
16,5.202890916961323,1.0,1.0,0.0,1.0,39,goal
17,92.11073795022747,1.0,1.0,0.0,1.0,65,goal
18,30.21933373769715,1.0,1.0,0.0,1.0,58,goal
19,3.7623332316256417,1.0,1.0,0.0,1.0,24,goal
