episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,132.89251188818557,1.0,1.0,0.0,1.0,71,goal
1,1.753981857362834,1.0,1.0,0.0,1.0,19,goal
2,1.5024657435765896,1.0,1.0,0.0,1.0,20,goal
3,20.73143793921636,1.0,1.0,0.0,1.0,47,goal
4,4.124448559066294,1.0,1.0,0.0,1.0,26,goal
5,3.703105184653584,1.0,1.0,0.0,1.0,27,goal
6,124.58308194831405,1.0,1.0,0.0,1.0,71,goal
7,13.98956415797052,1.0,1.0,0.0,1.0,33,goal
8,140.93669365478155,1.0,1.0,0.0,1.0,70,goal
9,11.47429962709827,1.0,1.0,0.0,1.0,27,goal
10,2.504337517734433,1.0,1.0,0.0,1.0,26,goal
11,137.6031372707707,1.0,1.0,0.0,1.0,70,goal
12,9.97889150826664,1.0,1.0,0.0,1.0,32,goal
13,102.40425792522552,1.0,1.0,0.0,1.0,68,goal
14,5.3132890639959465,1.0,1.0,0.0,1.0,24,goal
15,18.59018843228593,1.0,1.0,0.0,1.0,44,goal
16,64.42643826049026,1.0,1.0,0.0,1.0,61,goal
17,51.389366024009774,1.0,1.0,0.0,1.0,58,goal
18,41.338937998981066,1.0,1.0,0.0,1.0,54,goal
19,64.04379292832064,1.0,1.0,0.0,1.0,61,goal
