episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,1.77826968533213,1.0,1.0,0.0,1.0,14,parked
1,4.031269164345857,1.0,1.0,0.0,1.0,13,parked
2,3.578601050552173,1.0,1.0,0.0,1.0,10,parked
3,3.4884927211146968,1.0,1.0,0.0,1.0,13,parked
4,2.137701646929368,1.0,1.0,0.0,1.0,11,parked
5,0.10865855862498194,1.0,1.0,0.0,1.0,6,parked
6,1.224948439530251,1.0,1.0,0.0,1.0,16,parked
7,2.2684700818102206,1.0,1.0,0.0,1.0,15,parked
8,5.921500317795954,1.0,1.0,0.0,1.0,14,parked
9,19.07534104506407,1.0,1.0,0.0,1.0,17,parked
10,0.013660109371136583,1.0,1.0,0.0,1.0,2,parked
11,0.7202157873284999,1.0,1.0,0.0,1.0,11,parked
12,0.06065411181751109,1.0,1.0,0.0,1.0,2,parked
13,2.810400389365618,1.0,1.0,0.0,1.0,11,parked
14,4.400006926560885,1.0,1.0,0.0,1.0,12,parked
15,3.010180028295911,1.0,1.0,0.0,1.0,11,parked
16,1.210323287367231,1.0,1.0,0.0,1.0,9,parked
17,6.540891253926619,1.0,1.0,0.0,1.0,14,parked
18,1.4070456152019397,1.0,1.0,0.0,1.0,9,parked
19,0.24861858263440972,1.0,1.0,0.0,1.0,9,parked
