episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,8.101795407081351,1.0,1.0,0.0,1.0,15,goal
1,8.524240079114065,1.0,1.0,0.0,1.0,15,goal
2,7.354565509200508,1.0,1.0,0.0,1.0,14,goal
3,7.291504183224611,1.0,1.0,0.0,1.0,14,goal
4,8.358217289166163,1.0,1.0,0.0,1.0,15,goal
5,8.439102672306905,1.0,1.0,0.0,1.0,15,goal
6,8.584340496673812,1.0,1.0,0.0,1.0,15,goal
7,8.530788540380794,1.0,1.0,0.0,1.0,15,goal
8,9.524782484051169,1.0,1.0,0.0,1.0,16,goal
9,8.121149944525573,1.0,1.0,0.0,1.0,15,goal
10,7.772306814878134,1.0,1.0,0.0,1.0,15,goal
11,8.204087034013584,1.0,1.0,0.0,1.0,15,goal
12,8.383218872078315,1.0,1.0,0.0,1.0,15,goal
13,8.042792097414209,1.0,1.0,0.0,1.0,15,goal
14,9.46060574197535,1.0,1.0,0.0,1.0,17,goal
15,7.690809165799386,1.0,1.0,0.0,1.0,14,goal
16,8.61940470006842,1.0,1.0,0.0,1.0,15,goal
17,8.634082488936652,1.0,1.0,0.0,1.0,15,goal
18,8.111243261098599,1.0,1.0,0.0,1.0,15,goal
19,8.230564938356935,1.0,1.0,0.0,1.0,15,goal
