episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,9.04848265193598,1.0,1.0,0.0,1.0,16,goal
1,8.795932575822475,1.0,1.0,0.0,1.0,16,goal
2,8.130189055997937,1.0,1.0,0.0,1.0,15,goal
3,8.086380257214826,1.0,1.0,0.0,1.0,14,goal
4,8.060108823600856,1.0,1.0,0.0,1.0,15,goal
5,8.17407128209647,1.0,1.0,0.0,1.0,16,goal
6,7.400192553025852,1.0,1.0,0.0,1.0,14,goal
7,28.365571561609517,1.0,1.0,1.0,0.0,15,goal
8,8.35593749521869,1.0,1.0,0.0,1.0,15,goal
9,7.942076631365379,1.0,1.0,0.0,1.0,15,goal
10,7.329628306275516,1.0,1.0,0.0,1.0,14,goal
11,9.515067668573629,1.0,1.0,0.0,1.0,16,goal
12,8.463420962389478,1.0,1.0,0.0,1.0,15,goal
13,7.38000104016016,1.0,1.0,0.0,1.0,14,goal
14,8.801394163775251,1.0,1.0,0.0,1.0,16,goal
15,7.421056665097607,1.0,1.0,0.0,1.0,14,goal
16,8.141023039116979,1.0,1.0,0.0,1.0,16,goal
17,7.8583043994210655,1.0,1.0,0.0,1.0,15,goal
18,8.930803958330996,1.0,1.0,0.0,1.0,16,goal
19,9.572285748533435,1.0,1.0,0.0,1.0,16,goal
