episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,8.832941957279818,1.0,1.0,0.0,1.0,1,stopped
1,1.4836273443816397,1.0,1.0,0.0,1.0,2,stopped
2,3.6138926512275438,1.0,1.0,0.0,1.0,1,stopped
3,8.439091575820859,1.0,1.0,0.0,1.0,1,stopped
4,9.748628553103611,1.0,1.0,0.0,1.0,1,stopped
5,100.0,0.0,0.0,1.0,0.0,1,collision
6,6.197557249972701,1.0,1.0,0.0,1.0,1,stopped
7,1.7719949911437554,1.0,1.0,0.0,1.0,1,stopped
8,100.0,0.0,0.0,1.0,0.0,1,collision
9,1.111857878849757,1.0,1.0,0.0,1.0,1,stopped
10,3.7990075561822727,1.0,1.0,0.0,1.0,1,stopped
11,2.277847641508742,1.0,1.0,0.0,1.0,1,stopped
12,4.941424595449775,1.0,1.0,0.0,1.0,1,stopped
13,4.677308767818342,1.0,1.0,0.0,1.0,1,stopped
14,8.08900773096701,1.0,1.0,0.0,1.0,1,stopped
15,2.7378238891028257,1.0,1.0,0.0,1.0,1,stopped
16,8.93593487830794,1.0,1.0,0.0,1.0,1,stopped
17,2.843114511212122,1.0,1.0,0.0,1.0,1,stopped
18,1.4208637422927628,1.0,1.0,0.0,1.0,2,stopped
19,7.296117831584473,1.0,1.0,0.0,1.0,1,stopped
