episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,3.010092319295219,1.0,1.0,0.0,1.0,13,parked
1,6.199763088713052,1.0,1.0,0.0,1.0,13,parked
2,1.224076198946529,1.0,1.0,0.0,1.0,9,parked
3,1.4358177136226669,1.0,1.0,0.0,1.0,9,parked
4,0.09638971109137766,1.0,1.0,0.0,1.0,4,parked
5,0.8464630100377093,1.0,1.0,0.0,1.0,8,parked
6,2.200875602931987,1.0,1.0,0.0,1.0,13,parked
7,0.9709189700383984,1.0,1.0,0.0,1.0,11,parked
8,0.7775151991246343,1.0,1.0,0.0,1.0,9,parked
9,2.191006868141869,1.0,1.0,0.0,1.0,10,parked
10,7.3972497075590855,1.0,1.0,0.0,1.0,13,parked
11,12.081413169411528,1.0,1.0,0.0,1.0,16,parked
12,2.169591684299753,1.0,1.0,0.0,1.0,10,parked
13,6.232841839635969,1.0,1.0,0.0,1.0,13,parked
14,0.2743660391534877,1.0,1.0,0.0,1.0,7,parked
15,4.902389635019985,1.0,1.0,0.0,1.0,12,parked
16,7.778756791749058,1.0,1.0,0.0,1.0,14,parked
17,0.037058069039219,1.0,1.0,0.0,1.0,2,parked
18,0.8352993150625891,1.0,1.0,0.0,1.0,9,parked
19,14.617356611091155,1.0,1.0,0.0,1.0,17,parked
