episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,10.0,1.0,1.0,0.0,1.0,1,stopped
1,3.366690214750638,1.0,1.0,0.0,1.0,1,stopped
2,5.32488847935977,1.0,1.0,0.0,1.0,2,stopped
3,9.456643718572806,1.0,1.0,0.0,1.0,1,stopped
4,3.8816080276887424,1.0,1.0,0.0,1.0,1,stopped
5,6.739735458754261,1.0,1.0,0.0,1.0,1,stopped
6,100.0,0.0,0.0,1.0,0.0,1,collision
7,100.0,0.0,0.0,1.0,0.0,1,collision
8,2.6726038276443402,1.0,1.0,0.0,1.0,1,stopped
9,2.120328161403726,1.0,1.0,0.0,1.0,1,stopped
10,7.475901977661561,1.0,1.0,0.0,1.0,1,stopped
11,8.380595640878367,1.0,1.0,0.0,1.0,1,stopped
12,5.501355067609131,1.0,1.0,0.0,1.0,1,stopped
13,1.386112539437669,1.0,1.0,0.0,1.0,1,stopped
14,1.9224394352676204,1.0,1.0,0.0,1.0,1,stopped
15,7.008227674264548,1.0,1.0,0.0,1.0,1,stopped
16,6.057991209649335,1.0,1.0,0.0,1.0,1,stopped
17,10.0,1.0,1.0,0.0,1.0,1,stopped
18,4.4058845830388815,1.0,1.0,0.0,1.0,1,stopped
19,9.848527961329168,1.0,1.0,0.0,1.0,1,stopped
