episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,1.0747489321391586,1.0,1.0,0.0,1.0,30,goal
1,121.62986772287192,1.0,1.0,0.0,1.0,74,goal
2,1.5621738059143047,1.0,1.0,0.0,1.0,22,goal
3,0.7703247786629598,1.0,1.0,0.0,1.0,13,goal
4,30.63159030459413,1.0,1.0,0.0,1.0,55,goal
5,37.96130322469924,1.0,1.0,0.0,1.0,59,goal
6,1.8607750181794054,1.0,1.0,0.0,1.0,27,goal
7,52.938924978296086,1.0,1.0,0.0,1.0,74,goal
8,26.015403630737136,1.0,1.0,0.0,1.0,54,goal
9,161.9741937146497,1.0,1.0,0.0,1.0,74,goal
10,23.018711834202733,1.0,1.0,0.0,1.0,52,goal
11,52.4657551650258,1.0,1.0,0.0,1.0,74,goal
12,0.21660535379469298,1.0,1.0,0.0,1.0,8,goal
13,40.03141121052768,1.0,1.0,0.0,1.0,59,goal
14,88.21141037652568,1.0,1.0,0.0,1.0,69,goal
15,2.042303860988777,1.0,1.0,0.0,1.0,28,goal
16,11.97383441692036,1.0,1.0,0.0,1.0,45,goal
17,22.456882553975838,1.0,1.0,0.0,1.0,52,goal
18,0.004332227525799758,1.0,1.0,0.0,1.0,1,goal
19,61.015141171991665,1.0,1.0,0.0,1.0,76,goal
