episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,1.2222714166547701,1.0,1.0,0.0,1.0,1,stopped
1,3.167990963864809,1.0,1.0,0.0,1.0,2,stopped
2,3.722746110225393,1.0,1.0,0.0,1.0,1,stopped
3,4.078467267859117,1.0,1.0,0.0,1.0,1,stopped
4,2.4683624371995254,1.0,1.0,0.0,1.0,1,stopped
5,6.329842699494521,1.0,1.0,0.0,1.0,1,stopped
6,7.990179188879712,1.0,1.0,0.0,1.0,1,stopped
7,4.254067389239642,1.0,1.0,0.0,1.0,1,stopped
8,0.30240378387143085,1.0,1.0,0.0,1.0,1,stopped
9,3.9064211051968796,1.0,1.0,0.0,1.0,1,stopped
10,4.2850526326090375,1.0,1.0,0.0,1.0,1,stopped
11,0.5010147861101004,1.0,1.0,0.0,1.0,2,stopped
12,3.1913761356151378,1.0,1.0,0.0,1.0,1,stopped
13,6.231891630976555,1.0,1.0,0.0,1.0,1,stopped
14,4.41400706225555,1.0,1.0,0.0,1.0,1,stopped
15,5.580548571333185,1.0,1.0,0.0,1.0,1,stopped
16,10.0,1.0,1.0,0.0,1.0,1,stopped
17,6.78762158833554,1.0,1.0,0.0,1.0,1,stopped
18,100.0,0.0,0.0,1.0,0.0,1,collision
19,6.732677345427914,1.0,1.0,0.0,1.0,1,stopped
