episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,10.0,1.0,1.0,0.0,1.0,1,stopped
1,1.8377694482447806,1.0,1.0,0.0,1.0,2,stopped
2,4.932829408669035,1.0,1.0,0.0,1.0,1,stopped
3,7.360079425665092,1.0,1.0,0.0,1.0,1,stopped
4,2.4234883968751437,1.0,1.0,0.0,1.0,1,stopped
5,3.1599443897234987,1.0,1.0,0.0,1.0,1,stopped
6,100.0,0.0,0.0,1.0,0.0,1,collision
7,100.0,0.0,0.0,1.0,0.0,1,collision
8,2.135339242149345,1.0,1.0,0.0,1.0,1,stopped
9,1.4512030812950836,1.0,1.0,0.0,1.0,1,stopped
10,3.861861602905701,1.0,1.0,0.0,1.0,1,stopped
11,4.879332976083446,1.0,1.0,0.0,1.0,1,stopped
12,4.097584620831787,1.0,1.0,0.0,1.0,1,stopped
13,1.5003746434720928,1.0,1.0,0.0,1.0,1,stopped
14,2.3038278610946468,1.0,1.0,0.0,1.0,1,stopped
15,6.301191655892966,1.0,1.0,0.0,1.0,1,stopped
16,3.5173494249813664,1.0,1.0,0.0,1.0,1,stopped
17,10.0,1.0,1.0,0.0,1.0,1,stopped
18,4.242048580689028,1.0,1.0,0.0,1.0,1,stopped
19,7.909632735804265,1.0,1.0,0.0,1.0,1,stopped
