episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,6.742978901174367,1.0,1.0,0.0,1.0,49,goal
1,141.9746992766063,1.0,1.0,0.0,1.0,96,goal
2,118.5492849518773,1.0,1.0,0.0,1.0,79,goal
3,2.715031005879486,1.0,1.0,0.0,1.0,47,goal
4,44.57371563881736,1.0,1.0,0.0,1.0,69,goal
5,133.06126833868052,1.0,1.0,0.0,1.0,95,goal
6,47.76131251028391,1.0,1.0,0.0,1.0,81,goal
7,18.154988339025085,1.0,1.0,0.0,1.0,51,goal
8,247.25155183973234,1.0,1.0,0.0,1.0,107,goal
9,9.87099627359583,1.0,1.0,0.0,1.0,54,goal
10,3.766915513712464,1.0,1.0,0.0,1.0,24,goal
11,16.99639582168462,1.0,1.0,0.0,1.0,60,goal
12,14.400772215021812,1.0,1.0,0.0,1.0,56,goal
13,22.706663380003963,1.0,1.0,0.0,1.0,61,goal
14,15.541564638148829,1.0,1.0,0.0,1.0,48,goal
15,115.76031717167142,1.0,1.0,0.0,1.0,80,goal
16,1.9509402914394602,1.0,1.0,0.0,1.0,44,goal
17,11.57774539159105,1.0,1.0,0.0,1.0,32,goal
18,80.50275138992907,1.0,1.0,0.0,1.0,74,goal
19,91.19635870001328,1.0,1.0,0.0,1.0,89,goal
