episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,4.443222262136433,1.0,1.0,0.0,1.0,12,parked
1,4.353471958504983,1.0,1.0,0.0,1.0,13,parked
2,12.916224572315494,1.0,1.0,0.0,1.0,16,parked
3,10.798723768665582,1.0,1.0,0.0,1.0,14,parked
4,0.3654886258023423,1.0,1.0,0.0,1.0,10,parked
5,10.556808152202736,1.0,1.0,0.0,1.0,16,parked
6,2.375389471964921,1.0,1.0,0.0,1.0,11,parked
7,0.9830737673857336,1.0,1.0,0.0,1.0,9,parked
8,1.1532442170929351,1.0,1.0,0.0,1.0,8,parked
9,18.919320426974984,1.0,1.0,0.0,1.0,17,parked
10,9.695674502811848,1.0,1.0,0.0,1.0,15,parked
11,4.892790171814338,1.0,1.0,0.0,1.0,12,parked
12,0.4539532106612853,1.0,1.0,0.0,1.0,7,parked
13,2.2106345619838983,1.0,1.0,0.0,1.0,10,parked
14,14.254884648676144,1.0,1.0,0.0,1.0,16,parked
15,8.336782881883229,1.0,1.0,0.0,1.0,15,parked
16,0.3833593271636479,1.0,1.0,0.0,1.0,8,parked
17,4.743689693843293,1.0,1.0,0.0,1.0,11,parked
18,1.9828610550756014,1.0,1.0,0.0,1.0,10,parked
19,0.4014948082154136,1.0,1.0,0.0,1.0,8,parked
