episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,7.256255808262747,1.0,1.0,0.0,1.0,14,goal
1,9.659447459777565,1.0,1.0,0.0,1.0,17,goal
2,8.534955856997485,1.0,1.0,0.0,1.0,15,goal
3,8.391287037040362,1.0,1.0,0.0,1.0,15,goal
4,8.472414347942053,1.0,1.0,0.0,1.0,15,goal
5,6.890868005019927,1.0,1.0,0.0,1.0,14,goal
6,7.835409404460808,1.0,1.0,0.0,1.0,14,goal
7,8.29317475884734,1.0,1.0,0.0,1.0,15,goal
8,8.708357419383628,1.0,1.0,0.0,1.0,15,goal
9,8.706814379191579,1.0,1.0,0.0,1.0,16,goal
10,8.56673869627477,1.0,1.0,0.0,1.0,15,goal
11,8.428986339909073,1.0,1.0,0.0,1.0,15,goal
12,8.357940654363674,1.0,1.0,0.0,1.0,15,goal
13,8.675608906964355,1.0,1.0,0.0,1.0,15,goal
14,8.258445799758363,1.0,1.0,0.0,1.0,15,goal
15,8.494974903025154,1.0,1.0,0.0,1.0,15,goal
16,7.944459323582451,1.0,1.0,0.0,1.0,15,goal
17,7.788202560209457,1.0,1.0,0.0,1.0,14,goal
18,8.520369564641584,1.0,1.0,0.0,1.0,15,goal
19,8.013476358434879,1.0,1.0,0.0,1.0,15,goal
