episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,0.41241164846378886,1.0,1.0,0.0,1.0,8,parked
1,7.713675211587027,1.0,1.0,0.0,1.0,17,parked
2,8.51345637488083,1.0,1.0,0.0,1.0,14,parked
3,0.6738685618149942,1.0,1.0,0.0,1.0,10,parked
4,2.2493091277099344,1.0,1.0,0.0,1.0,9,parked
5,8.326183771281203,1.0,1.0,0.0,1.0,20,parked
6,2.7968165562859744,1.0,1.0,0.0,1.0,11,parked
7,1.6691517898476584,1.0,1.0,0.0,1.0,12,parked
8,18.200385770779288,1.0,1.0,0.0,1.0,23,parked
9,0.9317063210269436,1.0,1.0,0.0,1.0,10,parked
10,0.2652055870609817,1.0,1.0,0.0,1.0,6,parked
11,1.6746559128899416,1.0,1.0,0.0,1.0,13,parked
12,1.0234889435615602,1.0,1.0,0.0,1.0,9,parked
13,1.862779639892406,1.0,1.0,0.0,1.0,11,parked
14,1.4212576311777092,1.0,1.0,0.0,1.0,13,parked
15,6.898081496990202,1.0,1.0,0.0,1.0,13,parked
16,0.10432063830268994,1.0,1.0,0.0,1.0,6,parked
17,1.1706863351493664,1.0,1.0,0.0,1.0,12,parked
18,4.544083591942831,1.0,1.0,0.0,1.0,11,parked
19,5.533392195803409,1.0,1.0,0.0,1.0,17,parked
