episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,58.78138820580818,1.0,1.0,0.0,1.0,60,goal
1,28.685152083314136,1.0,1.0,0.0,1.0,49,goal
2,5.255356821874044,1.0,1.0,0.0,1.0,25,goal
3,105.48343043133495,1.0,1.0,0.0,1.0,66,goal
4,7.491183855566794,1.0,1.0,0.0,1.0,26,goal
5,172.15433847506105,1.0,1.0,0.0,1.0,74,goal
6,60.53323468915835,1.0,1.0,0.0,1.0,59,goal
7,9.873543294633667,1.0,1.0,0.0,1.0,27,goal
8,0.8306223193277573,1.0,1.0,0.0,1.0,17,goal
9,112.6881868209493,1.0,1.0,0.0,1.0,69,goal
10,69.46571935318357,1.0,1.0,0.0,1.0,61,goal
11,64.77801305614685,1.0,1.0,0.0,1.0,59,goal
12,14.536502041237686,1.0,1.0,0.0,1.0,43,goal
13,2.3007315963520596,1.0,1.0,0.0,1.0,25,goal
14,10.012896417258016,1.0,1.0,0.0,1.0,33,goal
15,61.92485126946737,1.0,1.0,0.0,1.0,64,goal
16,0.6494632583423767,1.0,1.0,0.0,1.0,16,goal
17,10.822232136091834,1.0,1.0,0.0,1.0,34,goal
18,0.002266297783346371,1.0,1.0,0.0,1.0,1,goal
19,133.1332753569524,1.0,1.0,0.0,1.0,70,goal
