episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,8.93500854863774,1.0,1.0,0.0,1.0,14,parked
1,6.473967119249245,1.0,1.0,0.0,1.0,12,parked
2,0.29508513625930133,1.0,1.0,0.0,1.0,6,parked
3,6.056961506542135,1.0,1.0,0.0,1.0,13,parked
4,6.5759111015489875,1.0,1.0,0.0,1.0,13,parked
5,8.247761510950662,1.0,1.0,0.0,1.0,16,parked
6,0.3080405738885394,1.0,1.0,0.0,1.0,6,parked
7,3.4906388136098547,1.0,1.0,0.0,1.0,13,parked
8,4.3567764377763964,1.0,1.0,0.0,1.0,13,parked
9,5.5072949735702,1.0,1.0,0.0,1.0,13,parked
10,0.0022539269028444622,1.0,1.0,0.0,1.0,1,parked
11,1.4939759749153798,1.0,1.0,0.0,1.0,11,parked
12,0.05363279448708196,1.0,1.0,0.0,1.0,3,parked
13,0.12427820302633841,1.0,1.0,0.0,1.0,4,parked
14,8.068888826330872,1.0,1.0,0.0,1.0,13,parked
15,0.18715111353084754,1.0,1.0,0.0,1.0,7,parked
16,2.2785216428603996,1.0,1.0,0.0,1.0,11,parked
17,0.12256682474315587,1.0,1.0,0.0,1.0,6,parked
18,6.838101655913616,1.0,1.0,0.0,1.0,15,parked
19,5.1925119714134755,1.0,1.0,0.0,1.0,12,parked
