episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,9.03966703084527,1.0,1.0,0.0,1.0,16,goal
1,10.23596735430674,1.0,1.0,0.0,1.0,17,goal
2,9.676169490551233,1.0,1.0,0.0,1.0,17,goal
3,8.318480717385892,1.0,1.0,0.0,1.0,15,goal
4,10.796808049833626,1.0,1.0,0.0,1.0,18,goal
5,9.725658874291925,1.0,1.0,0.0,1.0,17,goal
6,9.70917704270453,1.0,1.0,0.0,1.0,17,goal
7,9.613260518599429,1.0,1.0,0.0,1.0,17,goal
8,10.220303239529855,1.0,1.0,0.0,1.0,17,goal
9,10.832009447777292,1.0,1.0,0.0,1.0,17,goal
10,9.43314950427473,1.0,1.0,0.0,1.0,16,goal
11,9.159620908091863,1.0,1.0,0.0,1.0,16,goal
12,10.687507976377953,1.0,1.0,0.0,1.0,18,goal
13,10.588295404273126,1.0,1.0,0.0,1.0,18,goal
14,9.856101180787949,1.0,1.0,0.0,1.0,16,goal
15,8.891667229806373,1.0,1.0,0.0,1.0,16,goal
16,9.433667127615259,1.0,1.0,0.0,1.0,16,goal
17,8.689726021252632,1.0,1.0,0.0,1.0,16,goal
18,9.758580585404365,1.0,1.0,0.0,1.0,17,goal
19,9.328326366521095,1.0,1.0,0.0,1.0,16,goal
