episode,cost,success,strict_success,violation,reach_avoid,steps,terminal
0,8.528018129659195,1.0,1.0,0.0,1.0,1,stopped
1,100.0,0.0,0.0,1.0,0.0,1,collision
2,3.3658799415433625,1.0,1.0,0.0,1.0,1,stopped
3,1.6181213709331597,1.0,1.0,0.0,1.0,5,stopped
4,1.8998716107915234,1.0,1.0,0.0,1.0,1,stopped
5,3.264826475922594,1.0,1.0,0.0,1.0,1,stopped
6,3.2018919694320034,1.0,1.0,0.0,1.0,1,stopped
7,8.912488849932382,1.0,1.0,0.0,1.0,1,stopped
8,5.961302927197443,1.0,1.0,0.0,1.0,1,stopped
9,2.5342837072675266,1.0,1.0,0.0,1.0,4,stopped
10,1.2149545750753994,1.0,1.0,0.0,1.0,1,stopped
11,6.976747851695402,1.0,1.0,0.0,1.0,1,stopped
12,4.777648212128231,1.0,1.0,0.0,1.0,1,stopped
13,2.077412815704734,1.0,1.0,0.0,1.0,2,stopped
14,3.9459726295895763,1.0,1.0,0.0,1.0,1,stopped
15,7.544876250056328,1.0,1.0,0.0,1.0,1,stopped
16,100.0,0.0,0.0,1.0,0.0,1,collision
17,0.8712495291515825,1.0,1.0,0.0,1.0,1,stopped
18,9.197290381592493,1.0,1.0,0.0,1.0,1,stopped
19,3.2152996558853695,1.0,1.0,0.0,1.0,1,stopped
