benchmark,method,seed,seconds,preparation_seconds,evaluation_seconds,iterations,mean_cost,success_rate,violation_rate,blocks,core_blocks,truncated_blocks,frontier_transitions,absorption_samples,status,model_calls,partition_seconds,absorption_seconds,frontier_solve_seconds,frontier_mode,frontier_backend,exact_action_projection,exact_projection_available,exact_projection_mean_width,exact_projection_feasible_rate,exact_projection_activation_rate,exact_projection_clipping_rate,action_regime,control_route,execution_device,scale_size,grid_state_count,block_compression_ratio,scalability_family,transition_regime,noise_scale,noise_model,action_sample_count,action_perturbation_count,action_perturbation_rate,mean_abs_action_deviation,mean_intended_action,mean_executed_action,frontier_hit_entropy,transition_expectation,scenario_count,evaluation_protocol,topology_noise_projection,topology_noise_interval_probability,topology_noise_support_points,support_aware_control,planning_horizon,training_seconds,scala_process_seconds,training_episodes,evaluation_episodes,alpha,gamma,epsilon0,epsilon_decay_factor,min_exploration,reward_mode,success_bonus,potential_scale,partition_variant,training_initialization,training_model_calls,evaluation_model_calls,learned_policy_entries,defaulted_blocks,defaulted_block_ids,source_artifact,partition_source,environment_parity,evaluation_owner,recorded_model_calls,preparation_model_calls,online_model_calls,absorption_model_calls,other_preparation_model_calls,call_count_source,control_and_runtime_source
stochastic_braking_car,TileQ,2,0.04479370010085404,0.042380400002002716,0.0024123999755829573,400,24.25,0.8,0.2,,,,,,ok,431,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,1,0.05,0.12250000000000001,-4.500100000000001,-4.3776,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,431,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,MPC,2,0.10427160002291203,0.0,0.10425069998018444,0,13.9412,0.9,0.1,,,,,,ok,3229,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,33,2,0.06060606060606061,0.43787878787878787,-2.838606060606061,-2.6734545454545455,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,3229,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,SDTA-MDP,3,7.733623000094667,7.617507399991155,0.11611509998328984,1,24.3562,0.8,0.2,6,4,2,26,32,ok,3789,0.17775959987193346,7.4387819999828935,0.0005230000242590904,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,30,6,0.2,0.8329333333333333,-3.6707666666666663,-3.137833333333333,0.1721382508547446,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,702,702,3087,702,0,complete leaf-dynamics replay,original measured main experiment
stochastic_braking_car,FineGridVI,3,0.11788739985786378,0.11584230000153184,0.0020441999658942223,5,20.25,0.85,0.15,,,,,,ok,3136,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,3,0.15,1.1249500000000001,-6.75,-5.62505,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3136,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,TileQ,3,0.04136579995974898,0.03932409989647567,0.0020406998228281736,400,43.2525,0.6,0.4,,,,,,ok,432,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,21,3,0.14285714285714285,0.47614285714285715,-4.285714285714286,-4.047666666666667,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,432,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,MPC,3,0.06751620001159608,0.0,0.06749549997039139,0,19.22055,0.85,0.15,,,,,,ok,1985,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,25,5,0.2,0.7019200000000001,-4.3684,-3.6664800000000004,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1985,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,SDTA-MDP,4,8.102899899939075,7.891052199993283,0.21184709994122386,2,25.170399999999997,0.8,0.2,6,4,2,27,32,ok,5850,0.18212789995595813,7.707156900083646,0.001100500114262104,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,41,5,0.12195121951219512,0.5460975609756098,-2.8016585365853657,-2.986780487804878,0.14710053838907236,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,705,705,5145,705,0,complete leaf-dynamics replay,original measured main experiment
stochastic_braking_car,FineGridVI,4,0.12296170019544661,0.12045430019497871,0.0025064998771995306,5,30.880000000000003,0.75,0.25,,,,,,ok,3136,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,22,4,0.18181818181818182,0.9045454545454544,-6.25,-6.4818181818181815,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3136,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,TileQ,4,0.050589899998158216,0.047772099962458014,0.0028168000280857086,400,26.25,0.8,0.2,,,,,,ok,427,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,4,0.2,1.4949999999999999,-8.252500000000001,-6.7574999999999985,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,427,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,MPC,4,0.08741679997183383,0.0,0.08739490015432239,0,25.2075,0.8,0.2,,,,,,ok,1999,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,27,4,0.14814814814814814,0.8296296296296296,-4.492592592592593,-4.588888888888889,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1999,,,,,recorded planning or training calls,original measured main experiment
