benchmark,method,seed,mean_cost,success_rate,violation_rate,seconds,preparation_seconds,evaluation_seconds
stochastic_continuous_braking_car,SDTA-MDP,0,5.236328083989269,1.0,0.0,42.9441995001398,42.63579920004122,0.3083999000955373
stochastic_continuous_braking_car,SDTA-MDP,1,10.024588626549743,0.95,0.05,42.83886359981261,42.51877429988235,0.32008880004286766
stochastic_continuous_braking_car,SDTA-MDP,2,9.662908045174778,0.95,0.05,42.62285879999399,42.24328740010969,0.3795710999984294
stochastic_continuous_braking_car,SDTA-MDP,3,9.905238874801208,0.95,0.05,43.33940210007131,42.94587030005641,0.3935314000118524
stochastic_continuous_braking_car,SDTA-MDP,4,15.130827626551408,0.9,0.1,41.51887009991333,41.17639869987033,0.3424706000369042
stochastic_continuous_braking_car,SDTA-MDP,5,18.59578503234667,0.85,0.15,42.280559999868274,41.897273499984294,0.3832859001122415
stochastic_continuous_braking_car,SDTA-MDP,6,19.775053906642775,0.85,0.15,42.39906159997918,42.18565660016611,0.2134042999241501
stochastic_continuous_braking_car,SDTA-MDP,7,14.213173324600044,0.9,0.1,42.6916390999686,42.370870399987325,0.3207682999782264
stochastic_continuous_braking_car,SDTA-MDP,8,13.668892799505514,0.9,0.1,42.12742460006848,41.74759829998948,0.3798259000759572
stochastic_continuous_braking_car,SDTA-MDP,9,23.309013815209042,0.8,0.2,42.77107689995319,42.42575089982711,0.34532550000585616
stochastic_pendulum_swing_up,SDTA-MDP,0,56.75123085507492,1.0,0.0,6.896646999986842,2.608221999835223,4.288424599915743
stochastic_pendulum_swing_up,SDTA-MDP,1,37.45294071148824,1.0,0.0,5.363194500096142,1.8486408002208918,3.5145533999893814
stochastic_pendulum_swing_up,SDTA-MDP,2,46.58707396161293,1.0,0.0,7.211097500054166,2.6128669001627713,4.598230199888349
stochastic_pendulum_swing_up,SDTA-MDP,3,48.25022099869689,1.0,0.0,5.996162099996582,1.9715694000478834,4.024592400062829
stochastic_pendulum_swing_up,SDTA-MDP,4,47.83887608018349,1.0,0.0,6.89915610011667,2.714705100050196,4.1844504999462515
stochastic_pendulum_swing_up,SDTA-MDP,5,51.07870004703756,1.0,0.0,5.687750400044024,2.063336299965158,3.624413600191474
stochastic_pendulum_swing_up,SDTA-MDP,6,48.40581440092341,1.0,0.0,6.654256799956784,2.1890647998079658,4.465191500028595
stochastic_pendulum_swing_up,SDTA-MDP,7,37.584926509367655,1.0,0.0,5.769901700085029,1.9956614000257105,3.7742399000562727
stochastic_pendulum_swing_up,SDTA-MDP,8,40.330452292370616,1.0,0.0,6.65785999991931,2.4134978998918086,4.244361599907279
stochastic_pendulum_swing_up,SDTA-MDP,9,71.57174658716083,1.0,0.0,6.896909000119194,1.9307797001674771,4.966128799831495
stochastic_continuous_point_mass,SDTA-MDP,0,10.683184430998674,1.0,0.05,231.3925898000598,228.02235540002584,3.370233700145036
stochastic_continuous_point_mass,SDTA-MDP,1,8.974855520648447,1.0,0.0,239.17704129987396,234.98586019990034,4.1911803998518735
stochastic_continuous_point_mass,SDTA-MDP,2,10.094830536634113,1.0,0.0,228.44181010010652,224.9995431001298,3.4422665000893176
stochastic_continuous_point_mass,SDTA-MDP,3,9.57459693092823,1.0,0.0,226.75304540013894,223.05966140003875,3.693383399862796
stochastic_continuous_point_mass,SDTA-MDP,4,11.169738108429407,1.0,0.05,228.08195629995316,223.48948809993453,4.592467800015584
stochastic_continuous_point_mass,SDTA-MDP,5,10.429139073537355,1.0,0.05,224.90833329991437,221.26436050003394,3.6439723998773843
stochastic_continuous_point_mass,SDTA-MDP,6,9.880976209286427,1.0,0.05,239.98393959994428,236.51997569995,3.4639632999897003
stochastic_continuous_point_mass,SDTA-MDP,7,9.540561985351353,1.0,0.0,253.8507787999697,250.19431769987568,3.656460399972275
stochastic_continuous_point_mass,SDTA-MDP,8,9.363909583132672,1.0,0.0,240.32041539996862,236.67481900006533,3.6455959000159055
stochastic_continuous_point_mass,SDTA-MDP,9,9.788592523643553,1.0,0.05,225.33165409998037,221.89063729997724,3.4410159999970347
stochastic_continuous_double_integrator_parking,SDTA-MDP,0,3.767080301496145,1.0,0.0,35.30256250011735,5.9516735000070184,29.35088869999163
stochastic_continuous_double_integrator_parking,SDTA-MDP,1,3.1820973092889955,1.0,0.0,32.558768700109795,6.484285800019279,26.074482399970293
stochastic_continuous_double_integrator_parking,SDTA-MDP,2,3.861079218506705,1.0,0.0,38.22077060001902,6.658798000076786,31.561972100054845
stochastic_continuous_double_integrator_parking,SDTA-MDP,3,3.3436426997416904,1.0,0.0,37.59906209982,5.593814599793404,32.00524710002355
stochastic_continuous_double_integrator_parking,SDTA-MDP,4,3.822121232903023,1.0,0.0,33.08001019991934,5.648374099982902,27.431635699933395
stochastic_continuous_double_integrator_parking,SDTA-MDP,5,3.4328337618589395,1.0,0.0,33.10172399994917,6.247259299969301,26.854464299976826
stochastic_continuous_double_integrator_parking,SDTA-MDP,6,3.411806955737896,1.0,0.0,33.196291900007054,5.634749200195074,27.56154239992611
stochastic_continuous_double_integrator_parking,SDTA-MDP,7,3.2124884968817904,1.0,0.0,36.79790360014886,6.544959100196138,30.252943999832496
stochastic_continuous_double_integrator_parking,SDTA-MDP,8,3.2916249182735116,1.0,0.0,34.3157663999591,5.4762869998812675,28.83947900007479
stochastic_continuous_double_integrator_parking,SDTA-MDP,9,5.816033839610324,1.0,0.0,42.563467799918726,6.064115799963474,36.49935150006786
stochastic_continuous_braking_car,SDTA-NoLookahead,0,5.236328083989269,1.0,0.0,44.56315660011023,44.21300370013341,0.35015240008942783
stochastic_continuous_braking_car,SDTA-NoLookahead,1,10.024588626549743,0.95,0.05,44.293641600059345,43.933549700072035,0.36009140009991825
stochastic_continuous_braking_car,SDTA-NoLookahead,2,9.662908045174778,0.95,0.05,46.10157090006396,45.69622049992904,0.4053499000146985
stochastic_continuous_braking_car,SDTA-NoLookahead,3,9.78027637480121,0.95,0.05,46.7888426000718,46.3476666000206,0.44117530016228557
stochastic_continuous_braking_car,SDTA-NoLookahead,4,15.130827626551408,0.9,0.1,53.14716130006127,52.74890290014446,0.398257999913767
stochastic_continuous_braking_car,SDTA-NoLookahead,5,18.59578503234667,0.85,0.15,77.76892900001258,76.96410829992965,0.8048199999611825
stochastic_continuous_braking_car,SDTA-NoLookahead,6,19.775053906642775,0.85,0.15,83.11779980012216,82.62848720001057,0.4893117998726666
stochastic_continuous_braking_car,SDTA-NoLookahead,7,14.213173324600044,0.9,0.1,79.09365980001166,78.52286430005915,0.5707942999433726
stochastic_continuous_braking_car,SDTA-NoLookahead,8,13.668892799505514,0.9,0.1,117.75094419997185,117.10967310005799,0.6412704999092966
stochastic_continuous_braking_car,SDTA-NoLookahead,9,23.30897631520904,0.8,0.2,126.06508300011046,124.70334160001948,1.361740699969232
stochastic_continuous_double_integrator_parking,SDTA-NoLookahead,0,86.64667583645357,0.1,0.0,14.941119199851528,12.28736299998127,2.653755299979821
stochastic_continuous_double_integrator_parking,SDTA-NoLookahead,1,42.31501855997,0.15,0.0,14.836293499916792,12.281420500017703,2.5548722001258284
stochastic_continuous_double_integrator_parking,SDTA-NoLookahead,2,66.12129241827469,0.05,0.0,15.256687799934298,12.484662399860099,2.77202480006963
stochastic_continuous_double_integrator_parking,SDTA-NoLookahead,3,35.361680241811705,0.0,0.0,14.419107200112194,11.296495200134814,3.1226113999728113
stochastic_continuous_double_integrator_parking,SDTA-NoLookahead,4,75.44547459512563,0.05,0.0,14.708072199951857,11.723883099853992,2.9841881999745965
stochastic_continuous_double_integrator_parking,SDTA-NoLookahead,5,43.78316383139863,0.05,0.0,13.227379099931568,10.798232600092888,2.429145999951288
stochastic_continuous_double_integrator_parking,SDTA-NoLookahead,6,32.88087836509801,0.15,0.0,12.932005099952221,10.496769899968058,2.4352344998624176
stochastic_continuous_double_integrator_parking,SDTA-NoLookahead,7,37.72626897190984,0.1,0.0,13.918260000180453,10.92587639996782,2.992382900090888
stochastic_continuous_double_integrator_parking,SDTA-NoLookahead,8,66.74253587655627,0.25,0.0,16.937733799917623,13.960817100014538,2.976916200015694
stochastic_continuous_double_integrator_parking,SDTA-NoLookahead,9,46.44027984432802,0.6,0.0,16.809975599870086,14.137345100054517,2.6726293999236077
stochastic_continuous_point_mass,SDTA-NoLookahead,0,10.683184430998674,1.0,0.05,467.87558200000785,464.0193857999984,3.856195100117475
stochastic_continuous_point_mass,SDTA-NoLookahead,1,8.974855520648447,1.0,0.0,668.9089115001261,659.0034052000847,9.905505100032315
stochastic_continuous_point_mass,SDTA-NoLookahead,2,10.094830536634113,1.0,0.0,742.1496141001116,736.7397497000638,5.409863099921495
stochastic_continuous_point_mass,SDTA-NoLookahead,3,9.57459693092823,1.0,0.0,630.0429734000936,615.2205596000422,14.822412299923599
stochastic_continuous_point_mass,SDTA-NoLookahead,4,11.169738108429407,1.0,0.05,637.7076759000774,621.6824290000368,16.025245600147173
stochastic_continuous_point_mass,SDTA-NoLookahead,5,10.429139073537355,1.0,0.05,652.7996259999927,643.912650299957,8.886974399909377
