benchmark,method,seed,seconds,preparation_seconds,evaluation_seconds,iterations,mean_cost,success_rate,violation_rate,blocks,core_blocks,truncated_blocks,frontier_transitions,absorption_samples,status,model_calls,partition_seconds,absorption_seconds,frontier_solve_seconds,frontier_mode,frontier_backend,exact_action_projection,exact_projection_available,exact_projection_mean_width,exact_projection_feasible_rate,exact_projection_activation_rate,exact_projection_clipping_rate,action_regime,control_route,execution_device,scale_size,grid_state_count,block_compression_ratio,scalability_family,transition_regime,noise_scale,noise_model,action_sample_count,action_perturbation_count,action_perturbation_rate,mean_abs_action_deviation,mean_intended_action,mean_executed_action,frontier_hit_entropy,transition_expectation,scenario_count,evaluation_protocol,topology_noise_projection,topology_noise_interval_probability,topology_noise_support_points,support_aware_control,preparation_model_calls,absorption_model_calls,other_preparation_model_calls,online_model_calls,policy_decisions,online_model_calls_per_decision,model_call_accounting
stochastic_continuous_braking_car,SDTA-MDP,1,92.65296540001873,91.75077519996557,0.902189000044018,2,10.024563626549742,0.95,0.05,26,23,3,293,32,ok,10678,33.17961620003916,58.55637309991289,0.005632699932903051,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,30,28,0.9333333333333333,0.3597289118386961,-3.6281458333333325,-3.6056390869308514,0.2699063448256981,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,5852,5852,0,4826,30,160.86666666666667,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_braking_car,SDTA-MDP,2,91.19437129993457,90.37940179998986,0.8149687999393791,2,9.662908045174778,0.95,0.05,26,22,4,300,32,ok,10689,36.52175209997222,53.8474282999523,0.004064599983394146,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,30,25,0.8333333333333334,0.37411587418646136,-3.352,-3.4252720301165183,0.29909048626214574,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,5592,5592,0,5097,30,169.9,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_braking_car,SDTA-MDP,3,94.12190969998483,93.30274079996161,0.8191681000171229,2,9.78027637480121,0.95,0.05,26,23,3,290,32,ok,11230,36.993778500007465,56.2947285999544,0.005364600103348494,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,32,24,0.75,0.2894955882353093,-3.203464843749999,-3.281422734250755,0.2731523138581256,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,5863,5863,0,5367,32,167.71875,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_braking_car,SDTA-MDP,4,91.73919819993898,91.0933305999497,0.6458670999854803,2,15.130827626551408,0.9,0.1,26,23,3,296,32,ok,10448,35.627534400089644,55.45605199993588,0.0028801000444218516,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,29,25,0.8620689655172413,0.26679179255542834,-4.174431034482759,-4.209419177410571,0.29574614889829376,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,5840,5840,0,4608,29,158.89655172413794,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_braking_car,SDTA-MDP,5,85.99044869991485,85.12030789989512,0.8701399000128731,2,18.59578503234667,0.85,0.15,26,22,4,290,32,ok,10982,34.268708100076765,50.844159400090575,0.002820099936798215,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,32,26,0.8125,0.3122626502557175,-2.8553164062500005,-2.887001402859397,0.28822845351556353,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,5615,5615,0,5367,32,167.71875,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_braking_car,SDTA-MDP,6,85.77531050005928,85.33296969998628,0.44233990006614476,2,19.775053906642775,0.85,0.15,26,22,4,296,32,ok,8218,34.59950629994273,50.71945109998342,0.006064399960450828,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,22,20,0.9090909090909091,0.26892758604061584,-5.400130681818181,-5.418808426353399,0.2853419359602385,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,5609,5609,0,2609,22,118.5909090909091,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_braking_car,SDTA-MDP,7,86.32247040001675,85.53165010001976,0.7908193999901414,2,14.213173324600044,0.9,0.1,26,22,4,286,32,ok,9804,32.63317389995791,52.88193200004753,0.005338600021786988,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,26,22,0.8461538461538461,0.34540526366744445,-3.9179375,-3.9977822487807697,0.2829722450372559,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,5603,5603,0,4201,26,161.57692307692307,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_braking_car,SDTA-MDP,8,87.93019679991994,87.08686939999461,0.8433264999184757,2,13.668892799505514,0.9,0.1,26,22,4,289,32,ok,10523,36.901160200010054,50.17371589993127,0.005103999981656671,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,28,26,0.9285714285714286,0.3011221647130267,-3.205950892857143,-3.317837461999825,0.30169416286761047,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,5583,5583,0,4940,28,176.42857142857142,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_braking_car,SDTA-MDP,9,84.10898180003278,83.58307739999145,0.5259036000352353,2,23.309013815209042,0.8,0.2,26,23,3,317,32,ok,10137,33.99300390004646,49.582335100043565,0.003072399995289743,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,29,26,0.896551724137931,0.19175949214643828,-3.6915301724137928,-3.619280519347464,0.30268461068803837,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,5852,5852,0,4285,29,147.75862068965517,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_double_integrator_parking,SDTA-MDP,0,90.74610290001146,12.818170199985616,77.92793140001595,3,3.767080301496145,1.0,0.0,6,6,0,42,32,ok,496581,0.27322109998203814,12.541252600029111,0.0018459000857546926,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,209,145,0.69377990430622,0.05123974590547369,-0.02033492822966507,-0.020989918921344174,0.46031042932076544,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,18346,18346,0,478235,209,2288.2057416267944,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_double_integrator_parking,SDTA-MDP,1,74.41860719991382,12.01656269992236,62.40204359998461,3,3.1820973092889955,1.0,0.0,6,6,0,39,32,ok,407338,0.28829119994770736,11.724675999954343,0.002013100078329444,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,178,119,0.6685393258426966,0.054995944703328935,0.007022471910112359,0.008653054236406655,0.4309706063856288,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,18486,18486,0,388852,178,2184.561797752809,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_double_integrator_parking,SDTA-MDP,2,82.60182480001822,13.81502380000893,68.7868002000032,2,3.861079218506705,1.0,0.0,6,6,0,44,32,ok,455265,0.26655389997176826,13.546225999947637,0.0010136000346392393,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,195,134,0.6871794871794872,0.05461337553072179,0.03333333333333333,0.027862240739414526,0.4542590357294804,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,18517,18517,0,436748,195,2239.733333333333,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_double_integrator_parking,SDTA-MDP,3,87.2740684999153,13.693468399927951,73.58059949998278,1,3.3436426997416904,1.0,0.0,6,6,0,40,32,ok,493760,0.27984769991599023,13.398825999931432,0.011693899985402822,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,198,132,0.6666666666666666,0.05696368693568466,0.03156565656565657,0.030449560401826486,0.42784115483801816,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,18572,18572,0,475188,198,2399.939393939394,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_double_integrator_parking,SDTA-MDP,4,79.97083280002698,11.746010100003332,68.2248218000168,3,3.822121232903023,1.0,0.0,6,6,0,38,32,ok,462361,0.22798719990532845,11.515649499953724,0.0011978999245911837,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,203,142,0.6995073891625616,0.05822043575358041,-0.0332512315270936,-0.032902470453902335,0.4151873638292971,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,18420,18420,0,443941,203,2186.9014778325122,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_double_integrator_parking,SDTA-MDP,5,70.7381837000139,13.375299200066365,57.36288399994373,2,3.4328337618589395,1.0,0.0,6,6,0,43,32,ok,423576,0.2973218000261113,13.075606400030665,0.0011737000895664096,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,185,123,0.6648648648648648,0.05332296003295774,0.016216216216216217,0.011313219291031558,0.48610870053202077,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,18412,18412,0,405164,185,2190.0756756756755,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_double_integrator_parking,SDTA-MDP,6,78.96386180003174,13.179463500040583,65.78439749998506,3,3.411806955737896,1.0,0.0,6,6,0,38,32,ok,467390,0.2919291000580415,12.881999299977906,0.003669500001706183,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,193,135,0.6994818652849741,0.05349869453976036,-0.0012953367875647669,0.002954095856705802,0.43134749809489564,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,19005,19005,0,448385,193,2323.2383419689118,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_double_integrator_parking,SDTA-MDP,7,84.86985430005006,12.129104700055905,72.74074879998807,1,3.2124884968817904,1.0,0.0,6,6,0,39,32,ok,487066,0.28130049991887063,11.844769299961627,0.0016604999545961618,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,201,132,0.6567164179104478,0.05028208653073701,0.021144278606965175,0.017530257634121044,0.4191313531322074,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,18590,18590,0,468476,201,2330.726368159204,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_double_integrator_parking,SDTA-MDP,8,79.82682529999875,14.836388700059615,64.99043570004869,2,3.2916249182735116,1.0,0.0,6,6,0,42,32,ok,474499,0.4696472000796348,14.36471860005986,0.0009716000640764832,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,200,130,0.65,0.050764168179949075,0.04,0.04309116633325428,0.434554065312331,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,18534,18534,0,455965,200,2279.825,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_double_integrator_parking,SDTA-MDP,9,88.04534720000811,13.30163859995082,74.74370800005272,500,5.816033839610324,1.0,0.0,6,6,0,40,32,ok,599098,0.32131959998514503,12.849021699978039,0.12992830004077405,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,244,163,0.6680327868852459,0.05214454351040903,-0.02459016393442623,-0.014176745348510208,0.4210278480273698,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,18331,18331,0,580767,244,2380.19262295082,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_point_mass,SDTA-MDP,0,616.0133573000785,604.2338526000967,11.77950319997035,3,10.683184430998674,1.0,0.05,135,135,0,3978,32,ok,66798,48.52349119994324,555.5265830999706,0.06462419999297708,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,342,340,0.9941520467836257,0.23657776574417722,0.7364135489143626,0.7223426699030555,1.569783295985407,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,37678,37678,0,29120,342,85.14619883040936,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_point_mass,SDTA-MDP,1,610.8801608000649,600.8850753000006,9.995083900052123,3,8.974855520648447,1.0,0.0,135,135,0,3945,32,ok,66142,48.292061099899,552.4057860000758,0.06444720004219562,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,325,325,1.0,0.2500496899531403,0.7338302160363304,0.7548151011489405,1.5680894491591428,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,38569,38569,0,27573,325,84.84,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_point_mass,SDTA-MDP,2,610.7604493000545,600.1012918000342,10.659155700006522,4,10.094830536634113,1.0,0.0,135,135,0,3958,32,ok,67270,48.62268419994507,551.2602777999127,0.07388710009399801,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,354,351,0.9915254237288136,0.23902443890552938,0.6851896260245417,0.6784863026862781,1.5672473439749444,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,37905,37905,0,29365,354,82.95197740112994,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_point_mass,SDTA-MDP,3,603.4865974000422,594.0570200000657,9.429575799964368,3,9.57459693092823,1.0,0.0,135,135,0,3988,32,ok,65857,48.485662700026296,545.2035744999303,0.10630379989743233,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,336,334,0.9940476190476191,0.24254966482551596,0.7324003349208434,0.7407931533777677,1.5619342152095184,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,37479,37479,0,28378,336,84.45833333333333,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_point_mass,SDTA-MDP,4,587.0627190000378,578.011470300029,9.05124749999959,3,11.169738108429407,1.0,0.05,135,135,0,3966,32,ok,68632,53.665964799933136,524.143878800096,0.06104770000092685,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,358,358,1.0,0.26615620557725933,0.6350544158655298,0.6393799976940139,1.5650983711345405,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,38532,38532,0,30100,358,84.07821229050279,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_point_mass,SDTA-MDP,5,585.3715192999225,576.8449028999312,8.526615099981427,3,10.429139073537355,1.0,0.05,135,135,0,3955,32,ok,66510,52.890148299979046,523.7418473999714,0.0625081000616774,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,332,328,0.9879518072289156,0.2488223404235366,0.7511455885358836,0.7562973360049817,1.5596638603458552,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,38412,38412,0,28098,332,84.63253012048193,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_point_mass,SDTA-MDP,6,587.5286704000318,579.9699529999634,7.558716000057757,3,9.880976209286427,1.0,0.05,135,135,0,3993,32,ok,65740,52.64777569996659,527.1082530999556,0.06837579992134124,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,320,318,0.99375,0.2319659186176172,0.7568169474666994,0.7617240828555725,1.5659229348611516,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,38566,38566,0,27174,320,84.91875,leaf-dynamics-v2: preparation + online; excludes execution and visualization
stochastic_continuous_point_mass,SDTA-MDP,7,585.2451359999832,578.394905299996,6.850229399977252,3,9.540561985351353,1.0,0.0,135,135,0,3962,32,ok,67446,51.09007489995565,527.1445790000726,0.05168860009871423,sampled,sampled-forced,False,False,,,,,continuous-action,adaptive-candidates,cpu,,,,,stochastic,0.05,gaussian-action-noise,335,333,0.9940298507462687,0.2407351554219714,0.7340531769567757,0.7200034974494389,1.5564878898239827,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,bounded-ksigma-representative,0.9544997361036417,3,True,39110,39110,0,28336,335,84.58507462686568,leaf-dynamics-v2: preparation + online; excludes execution and visualization
